leaf.length,leaf.width,flower.length,plant
4.4,2.9,0.2,Arctica
4.6,3.1,0.2,Arctica
4.6,3.4,0.3,Arctica
4.7,3.2,0.2,Arctica
4.9,3.0,0.2,Arctica
4.9,3.1,0.1,Arctica
4.9,2.4,1.0,Harlequin
4.9,2.5,1.7,Harlequin
5.0,3.6,0.2,Arctica
5.0,3.4,0.2,Arctica
5.1,3.5,0.2,Arctica
5.2,2.7,1.4,Harlequin
5.4,3.9,0.4,Arctica
5.5,2.3,1.3,Harlequin
5.7,2.8,1.3,Harlequin
5.8,2.7,1.9,Carolinian
6.3,3.3,1.6,Harlequin
6.3,3.3,2.5,Carolinian
6.3,2.9,1.8,Carolinian
6.4,3.2,1.5,Harlequin
6.5,2.8,1.5,Harlequin
6.5,3.0,2.2,Carolinian
6.6,2.9,1.3,Harlequin
6.7,2.5,1.8,Carolinian
6.9,3.1,1.5,Harlequin
7.0,3.2,1.4,Harlequin
7.1,3.0,2.1,Carolinian
7.2,3.6,2.5,Carolinian
7.3,2.9,1.8,Carolinian
7.6,3.0,2.1,Carolinian
